episode,timestep,reward
5444,880000,395.8149
5454,882000,424.2816
5464,884000,411.6918
5474,886000,380.2938
5483,888000,434.2323
5493,890000,407.7983
5501,892000,430.241
5512,894000,422.3777
5521,896000,437.607
5529,898000,413.4756
5539,900000,421.1773
5548,902000,424.849
5559,904000,386.7435
5569,906000,403.9173
5579,908000,357.6614
5589,910000,408.434
5599,912000,407.7216
5609,914000,422.9894
5619,916000,365.976
5629,918000,425.9458
5637,920000,450.2125
5647,922000,424.0497
5657,924000,379.0531
5667,926000,398.1101
5677,928000,454.1002
5685,930000,435.9654
5695,932000,428.4066
5703,934000,480.0306
5714,936000,394.6803
5723,938000,436.9848
5731,940000,467.2186
5741,942000,404.3614
5751,944000,387.8861
5761,946000,418.9371
5771,948000,385.6618
5780,950000,408.8533
5790,952000,443.3125
5801,954000,362.8949
5811,956000,392.2774
5821,958000,435.8217
5831,960000,349.449
5839,962000,495.258
5847,964000,436.5924
5856,966000,408.927
5867,968000,402.4862
5876,970000,399.3268
5886,972000,430.4273
5894,974000,464.7381
5904,976000,395.8271
5914,978000,412.3461
5922,980000,483.1696
5929,982000,524.2647
5937,984000,442.9317
5947,986000,338.9798
5957,988000,440.0338
5966,990000,432.605
5975,992000,412.4703
5984,994000,451.0915
5993,996000,456.7186
6003,998000,392.823
6013,1000000,434.3566
6021,1002000,484.9173
6031,1004000,422.9253
6039,1006000,456.1043
6049,1008000,426.2907
6058,1010000,447.4994
6068,1012000,403.2494
6079,1014000,385.4104
6087,1016000,483.8785
6096,1018000,436.7614
6105,1020000,405.874
6115,1022000,418.1904
6123,1024000,481.8578
6132,1026000,427.1717
6142,1028000,425.0397
6151,1030000,399.4744
6160,1032000,437.178
6169,1034000,492.8224
6178,1036000,444.7699
6189,1038000,384.7921
6200,1040000,394.8093
6209,1042000,430.1176
6220,1044000,383.6923
6229,1046000,466.3583
6237,1048000,445.8724
6245,1050000,493.8502
6254,1052000,450.8814
6264,1054000,440.0307
6273,1056000,449.6371
6283,1058000,424.2271
6292,1060000,476.5142
6301,1062000,448.9473
6310,1064000,444.5647
6318,1066000,492.4144
6327,1068000,444.4904
6338,1070000,407.2475
6347,1072000,436.4663
6357,1074000,423.8719
6367,1076000,391.521
6376,1078000,428.1359
6384,1080000,508.8004
6392,1082000,434.3418
6401,1084000,456.134
